Aalborg,Denmark___+57.09700___+9.85000
Amman,Jordan___+31.95000___+35.95000
Amsterdam,Neth.___+52.35000___+4.86660
Anaconda,MT___+46.12830___-112.95300
Anaheim,CA___+33.83500___-117.91300
Anchorage,AK___+61.16670___-149.98300
AndersonAFB,Guam___+13.58670___+144.93670
Anderson,IN___+40.16670___-85.68500
Anderson,SC___+34.51000___-82.65500
AngaurIsland___+6.90000___+134.15000
Ankara,Turkey___+40.03000___+32.90000
AnnArbor,MI___+42.28310___-83.74780
Annapolis,MD___+38.97330___-76.49500
AnnetteIs.,AK___+55.04500___-131.56000
Anniston,AL___+33.65000___-85.78300
Ansbach,Germany___+49.33000___+10.59700
Antigua___+17.13330___-61.78330
Antlers,OK___+24.23300___-95.63300
Antofagasta,Chile___-23.43330___-70.60000
Antwerp,Belgium___+51.21670___+4.40000
Appleton,WI___+44.26170___-88.42000
Aqaba,Jordan___+29.60000___+35.01000
Arcade-Arden,CA___+38.58330___-121.48300
Ardmore,OK___+34.16700___-97.13300
Arese,Italy___+45.60000___+9.15000
Argyle,MN___+48.35000___-96.80000
Arica,Chile___-18.35000___-70.33330
Arkadelphia,AR___+34.10000___-93.08300
ArlingtonHts.,IL___+42.08830___-87.98000
Arlington,MA___+42.41500___-71.15170
Arlington,TX___+32.73670___-97.11330
Arlington,VA___+38.90000___-77.10000
Armour,SD___+43.30000___-98.35000
Arvada,CO___+39.80000___-105.07800
AscenciónIsland___-7.88000___-14.42000
AshFork,AZ___+35.21700___-112.48300
Asheville,NC___+35.59500___-82.55720
Ashland,KS___+37.18300___-99.76700
Ashland,KY___+38.47670___-82.63970
Ashland,ME___+46.61700___-68.43300
Ashley,ND___+46.05000___-99.38300
Asmara,Ethiopia___+15.28330___+38.90000
Aspen,CO___+39.25000___-106.91700
Astoria,OR___+46.18300___-123.85000
Asuncion,Paraguay___-25.23330___-57.51670
Aswan,Egypt___+23.96500___+32.82000
Athens,GA___+33.95670___-83.38330
Athens,Greece___+38.00000___+23.63330
Athens,Greece___+38.02667___+23.73345
Athens,TN___+35.43300___-84.60000
Atkinson,NE___+42.53300___-98.96700
Atlanta,GA___+33.75280___-84.39360
AtlanticCity,NJ___+39.35890___-74.43140
Atmore,AL___+31.01700___-87.51700
Attleboro,MA___+41.95800___-71.29190
Auburn,AL___+32.60670___-85.48330
Auburn,ME___+44.09670___-70.22830
Auckland,NewZealand___-36.88320___+174.75000
Augusta,AR___+35.26700___-91.35000
Augusta,GA___+33.47220___-81.96670
Augusta,ME___+44.31470___-69.77470
Aurora,CO___+39.74000___-104.86800
Aurora,IL___+41.75500___-88.31330
Aurora,MN___+47.51700___-92.28300
Austin,NV___+39.50000___-117.08300
Austin,TX___+30.26920___-97.74360
Avalon,Australia___-38.03330___+144.46670
Aviano,Italy___+46.03300___+12.60000
Avon,CT___+41.66700___-72.83300
Ayase,Japan___+35.45000___+139.45000
Aztec,NM___+36.66700___-108.00000
BabelthuapIsland___+7.36440___+134.55140
Bacolod,Philippines___+10.65000___+122.93330
Baden-Baden,Germany___+48.79000___+8.19000
Baghdad,Iraq___+33.23330___+44.36670
Bahrain,U.A.E.___+26.26700___+50.63300
Baie-Comeau,PQ___+49.14000___-68.18000
Baker,MT___+46.35000___-104.20000
Bakersfield,CA___+35.37500___-119.02200
Balboa,Panama___+8.91670___-79.60000
BaldwinPark,CA___+34.07000___-117.95800
Bali,Indonesia___-8.75000___+115.16670
Baltimore,MD___+39.29050___-76.61250
Bamberg,Germany___+49.83300___+10.83300
BandarAbbass,Iran___+27.22600___+56.37700
BandarLengeh,Iran___+26.53300___+54.82500
Bandirma,Turkey___+40.30900___+27.97300
Banff,AB___+51.18000___-115.55000
Bangalore,India___+13.80000___+77.30000
Bangkok,Thailand___+13.83330___+100.48330
Bangor,ME___+44.80360___-68.77170
Banjul,Gambia___+13.33600___-16.65990
BarHarbor,ME___+44.36700___-68.21700
Baraboo,WI___+43.48300___-89.73300
Barbados___+13.06670___-59.50000
Barcelona,Spain___+41.30200___+2.09200
Barnesville,OH___+40.00330___-81.19170
Barranquilla,Colombia___+10.90000___-74.78330
Barre,VT___+44.19830___-72.50170
Barron,WI___+45.40000___-91.85000
Barrow,AK___+71.33300___-156.00000
Barstow,CA___+34.88300___-117.05000
Bartlesville,OK___+36.74500___-95.97670
Barton,VT___+44.75000___-72.08300
Basrah,Iran___+30.56670___+47.77700
Batesburg,SC___+33.88300___-81.56700
BatonRouge,LA___+30.44940___-91.18330
BattleCreek,MI___+42.31610___-85.18000
BayCity,MI___+43.60110___-83.88750
BaySt.Louis,MS___+30.31700___-89.33300
Bayonne,NJ___+40.66670___-74.12000
Baytown,TX___+29.71830___-94.97670
Beach,ND___+46.91700___-104.00000
Beatty,NV___+36.96700___-116.80000
Beaufort,SC___+32.41700___-80.66700
Beaumont,TX___+30.08890___-94.10250
Beaver,UT___+38.25000___-112.66700
Beaverton,OR___+45.48830___-122.80700
Beckley,WV___+37.77670___-81.19000
Beijing,China___+39.91660___+116.38330
Beirut,Lebanon___+33.88330___+35.50000
Beja,Portugal___+38.14600___-7.92200
Belem,Brazil___-1.38330___-48.48330
Belen,NM___+34.66700___-106.75000
Belfast,N.Ireland___+54.63000___-5.87000
Belgrade,Serbia___+44.80000___+20.53330
BelizeCity___+15.53330___-88.30000
Belleville,IL___+38.51700___-89.98300
Bellevue,NE___+41.14500___-95.89170
Bellevue,WA___+47.61670___-122.20000
Bellflower,CA___+33.89000___-118.14200
Bellingham,WA___+48.75050___-122.47700
BellowsFalls,VT___+43.13333___-72.45000
BenGuerir,Morocco___+32.12772___-7.87990
Bend,OR___+44.06700___-121.28300
Bennington,VT___+42.88000___-73.19670
Benton,AR___+34.56500___-92.58670
Bergen,Norway___+60.29000___+5.22000
Berkeley,CA___+37.86940___-122.27100
Berlin,Germany___+52.51670___+13.33330
Berlin,NH___+44.41700___-71.16700
Bermuda___+32.36700___-64.68300
Bern,Switzerland___+46.91670___+7.41670
Bethel,AK___+60.79170___-161.75000
Bethesda,MD___+39.00000___-77.16700
Bethlehem,PA___+40.62110___-75.37610
Bettendorf,IA___+41.61167___-90.58920
BettlesField,AK___+66.96700___-151.80000
Biddeford,ME___+43.49170___-70.46330
BigDelta,AK___+64.13300___-145.80000
BigLake,AK___+61.85000___-150.10000
Billings,MT___+45.78330___-108.50100
Biloxi,MS___+30.39670___-88.88330
Binghamton,NY___+42.10080___-75.91310
Birmingham,AL___+33.51690___-86.81000
Birmingham,England___+52.48330___-1.88320
Bismarck,ND___+46.80640___-100.78800
Bitburg,Germany___+49.94500___+6.56900
Blackpool,England___+53.77300___-3.04500
Blackwell,OK___+36.78300___-97.31700
Bloomfield,NJ___+40.79500___-74.20000
Bloomington,IL___+40.48170___-88.99330
Bloomington,IN___+39.16500___-86.53170
Bloomington,MN___+44.82500___-93.27500
Bluefield,WV___+37.26670___-81.22330
Bluff,UT___+37.30000___-109.56700
BocaRaton,FL___+26.35000___-80.08670
BocaRaton,FL___+26.35000___-80.08670
Bodo,Norway___+67.27000___+14.36670
Bogalusa,LA___+30.80000___-89.86700
Bogota,Colombia___+4.63330___-74.09990
BoiseCity,OK___+36.70000___-102.50000
Boise,ID___+43.61860___-116.19900
Boise,ID___+43.63333___-116.26700
Bologna,Italy___+44.53800___+11.29000
Bombay,India___+18.96670___+72.83330
Bonn,Germany___+50.72000___+7.08000
Boone,NC___+36.19860___-81.65770
Booneville,KY___+37.41700___-83.66700
Bordeaux,France___+44.83330___-0.61660
Bordentown,NJ___+40.08300___-74.66700
Borinquen,PR___+18.50000___-67.13330
Boscobel,WI___+43.13300___-90.73300
BossierCity,LA___+32.50000___-93.70000
BossierCity,LA___+32.51670___-93.73170
Boston,MA___+42.35670___-71.05690
BoulderCity,NV___+35.97830___-114.83800
BoulderCreek,CA___+37.05000___-122.15000
Boulder,CO___+40.01330___-105.28000
Bountiful,UT___+40.88500___-111.88000
Bowie,MD___+39.00670___-76.78170
BowlingGreen,KY___+36.98830___-86.45080
Bowman,ND___+46.18300___-103.38300
Bozeman,MT___+45.68170___-111.03800
BradshawAAF,HI___+19.76310___-155.55700
Brandon,MB___+49.85000___-99.95000
Brandon,VT___+43.75000___-73.08300
Brasilia,Brazil___-15.86670___-47.91670
Brattleboro,VT___+42.85170___-72.56330
Bremen,Germany___+53.04700___+8.79000
Bremerton,WA___+47.56700___-122.63300
Brest,France___+48.40000___-4.49990
Bridgeport,CT___+41.18030___-73.18940
Bridgeport,CT___+41.18750___-73.20830
Bridgeton,NJ___+39.45000___-75.21000
Brilliant,OH___+40.16000___-80.38000
Brisbane,Australia___-27.49990___+153.16670
Bristol,CT___+41.67330___-72.95000
Bristol,England___+51.48330___-2.64990
Bristol,RI___+41.68300___-71.23300
Bristol,TN___+36.59330___-82.17670
Bristol,VT___+44.16700___-73.00000
BrizeNorton,England___+51.75000___-1.58880
Brockton,MA___+42.08390___-71.02360
BrokenArrow,OK___+36.05000___-95.79500
Brookings,OR___+42.06700___-124.26700
Brookings,SD___+44.31000___-96.79330
Brookline,MA___+42.33170___-71.12170
BrooklynPark,MN___+45.10000___-93.37500
BrooksidePark,DE___+39.67330___-75.72000
Brownsville,TX___+25.90190___-97.49940
Brunei___+4.95000___+114.93670
Brunswick,GA___+31.13300___-81.50000
Brunswick,ME___+43.90670___-69.96330
Brussels,Belgium___+50.85000___+4.35000
Bucharest,Romania___+44.38330___+26.16670
Buckeburg,Germany___+52.27500___+9.07400
Budapest,Hungary___+47.43300___+19.25000
BuenaPark,CA___+33.87170___-117.99700
BuenaPark,CA___+33.87170___-117.99700
BuenosAires,Argent.___-34.33320___-58.49990
Buffalo,NY___+42.88110___-78.87250
Buffalo,WY___+44.31700___-106.70000
Burbank,CA___+34.18170___-118.31200
Burlington,CO___+39.28300___-102.43300
Burlington,CT___+41.77000___-72.99000
Burlington,IA___+40.81000___-91.23330
Burlington,NC___+36.09670___-79.43330
Burlington,VT___+44.47860___-73.21280
Burlington,WA___+48.47000___-122.45000
Burns,OR___+43.58300___-119.08300
Burwash,YT___+61.33000___-139.00000
Butte,MT___+46.01830___-112.53600
Butterworth,Malaysia___+5.46670___+100.40000
Cairo,Egypt___+30.00000___+31.28330
Calais/Dunkirk,France___+50.96000___+1.95000
Calcutta,India___+22.53330___+88.36670
Caldwell,ID___+43.66500___-116.68700
Calgary,Alberta___+51.05000___-114.08300
Caliente,NV___+37.63300___-114.50000
Cambridge,England___+52.19000___+0.17000
Cambridge,MA___+42.36690___-71.10610
Cambridge,MD___+38.57000___-76.07830
Camden,NJ___+39.94470___-75.12050
Canberra,Australia___-35.35000___+149.16670
Cannes,France___+43.73000___+6.90000
CanogaPark,CA___+34.21000___-118.57000
Canton,China___+23.11670___+113.25000
Canton,OH___+40.79720___-81.37690
Cantonsville,MD___+39.29050___-76.61250
CapeCanaveral,FL___+28.45000___-80.45800
CapeGirardeau,MO___+37.31000___-89.53330
CapeMay,NJ___+38.91700___-74.83300
CapeTown,SoAfrica___-33.79990___+18.46670
Caracas,Venezuela___+10.50000___-66.96660
Carbonado,WA___+47.08300___-122.05000
Carbondale,IL___+37.70000___-89.20000
Cardiff,Wales___+51.50000___-3.29990
Carlton,MN___+46.66700___-92.43300
Carmichael,CA___+38.66680___-121.32900
Carrizozo,NM___+33.66700___-105.91700
Carrollton,GA___+33.58300___-84.08300
CarsonCity,NV___+39.16670___-119.76700
Carson,CA___+33.80670___-118.28300
Cartersville,GA___+34.15000___-84.78300
Cary,IL___+42.21670___-88.23330
CasaGrande,AZ___+32.88000___-111.74800
Casablanca,Morocco___+33.53330___-7.68320
Casper,WY___+42.84670___-106.31300
Castlerock,WA___+46.28300___-122.88300
CaveCreek,AZ___+33.77500___-111.89600
Cayenne,Fr.Guiana___+4.90000___-52.50000
CedarCity,UT___+37.66700___-113.16700
CedarFalls,IA___+42.52500___-92.45170
CedarRapids,IA___+41.96690___-91.66470
CentralIslip,NY___+40.79000___-73.20000
Centreville,MD___+39.08300___-76.08300
Cerritos,CA___+33.83500___-118.08300
ChagrinFalls,OH___+41.40000___-81.60000
Champaign,IL___+40.11800___-88.24670
ChapelHill,NC___+35.93470___-79.06720
Charleston,SC___+32.77640___-79.93140
Charleston,WV___+38.35030___-81.63110
Charlevoix,PQ___+47.61000___-70.19000
Charlotte,NC___+35.22890___-80.84580
Charlottesville,VA___+38.00000___-78.41700
Charlottetown,PEI___+46.24000___-63.13000
Chatham,NB___+47.05000___-65.45000
Chattanooga,TN___+35.04470___-85.30890
Cheju,S.Korea___+33.50000___+126.50000
Cheltenham,PA___+40.05000___-75.11000
Cheraw,SC___+34.66700___-79.86700
Cherbourg,France___+49.65000___-1.46700
Cherokee,OK___+36.73300___-98.36700
Chesapeake,VA___+36.82500___-76.28330
Chester,CT___+41.41000___-72.48000
Chester,PA___+39.85000___-75.36700
Cheyenne,WY___+41.13580___-104.81900
ChiangMai,Thailand___+18.76330___+98.96670
Chibougamau,PQ___+49.90000___-74.38000
Chicago,IL___+41.87440___-87.63940
Chiclayo,Peru___-6.78330___-79.83330
Chicopee,MA___+42.14000___-72.61170
Chignik,AK___+56.23300___-158.20000
Chillicothe,IL___+41.91700___-89.50000
Chillicothe,MO___+39.76700___-93.53300
Chillicothe,OH___+39.33300___-83.00000
ChinoHills,CA___+34.01700___-117.70000
Chino,CA___+34.01700___-117.70000
Chinook,MT___+48.58300___-109.25000
Chitose,Japan___+42.80000___+141.66670
Chittagong,Bangladesh___+22.25000___+91.83330
Christchurch,NZealan___-43.48300___+172.53300
ChristmasIsland___+1.98330___-157.36700
ChulaVista,CA___+32.64330___-117.08300
Churchill,MB___+58.77000___-94.09000
Chuuk,Micronesia___+7.45972___+151.83890
Cicero,IL___+41.85000___-87.74500
Cincinnati,OH___+39.10190___-84.50970
Circle,AK___+65.83000___-144.06000
Circleville,OH___+39.58300___-83.00000
Claremont,NH___+43.37500___-72.33670
Clark,NJ___+40.75000___-74.00000
Clarksburg,WV___+39.28000___-80.34830
Clarksdale,MS___+34.19830___-90.57500
Clarksville,TN___+36.52670___-87.34830
Claymont,DE___+39.80500___-75.45330
ClearLakeCity,TX___+29.53000___-95.07780
Clear,AK___+64.33000___-149.15000
Clearlake,CA___+38.93333___-122.60000
Clearwater,FL___+27.96670___-82.79830
Cleveland,OH___+41.49750___-81.69720
Cleveland,TN___+35.15830___-84.87670
Clifton,NJ___+40.88330___-74.14670
Clinton,IA___+41.84330___-90.19330
Clovis,NM___+34.40170___-103.20500
Cockeysville,MD___+39.50000___-76.66700
CocosIsland___-12.18330___+96.83330
Cody,WY___+44.51700___-109.03300
ColdBay,AK___+55.20000___-162.72500
ColdLake,AB___+54.43000___-110.23000
CollegePark,MD___+38.98670___-76.93500
Collegedale,TN___+35.04700___-85.05100
Cologne,Germany___+50.93330___+6.95000
Colombo,SriLanka___+6.96670___+79.86660
Colon,Panama___+9.36670___-79.89990
ColoradoSprings,CO___+38.83530___-104.82100
ColumbiaStn.,OH___+41.31780___-81.96060
Columbia,MO___+38.95080___-92.32940
Columbia,SC___+34.00050___-81.03330
Columbia,TN___+35.61500___-87.03670
Columbus,GA___+32.46860___-84.99000
Columbus,MS___+33.49830___-88.41670
Columbus,NE___+42.42500___-97.36000
Columbus,OH___+39.96300___-83.00470
Columbus,OH___+39.96300___-83.00470
Columbus,OH___+39.95000___-83.08330
Comox,BC___+49.68000___-124.90000
Compton,CA___+33.89500___-118.22600
Concepcion,Chile___-36.76670___-73.05000
Concord,CA___+37.97500___-122.03000
Concord,NH___+43.20610___-71.54030
Condon,OR___+45.23300___-120.16700
Conway,AR___+35.10000___-92.45000
Conway,NH___+44.00000___-71.16700
Copenhagen,Denmark___+55.71670___+12.45000
Coralville,IA___+41.68400___-91.59680
Corbin,KY___+36.91700___-84.10000
Cordova,AK___+60.56700___-145.63300
Corinth,MS___+34.91700___-88.50000
Corning,IA___+40.96700___-94.66700
CorpusChristi,TX___+27.79750___-97.39580
Cortez,CO___+37.35000___-108.58300
Corvallis,OR___+44.56670___-123.27000
CostaMesa,CA___+33.64000___-117.91800
CouncilBluffs,IA___+41.26170___-95.86500
Covington,KY___+39.08670___-84.51170
Cranbrook,BC___+49.68000___-115.76000
Cranford,NJ___+40.66200___-74.21600
Cranston,RI___+41.78330___-71.43830
Crawford,NE___+42.68300___-103.41700
Crestwood,KY___+38.14000___-85.45000
Crestwood,MO___+38.34000___-90.23000
CreveCoeur,IL___+40.64360___-89.61060
CrippleCreek,CO___+38.73300___-105.20000
Crocker,MO___+35.47000___-92.08000
Crofton,NE___+42.73300___-97.53300
CubiPoint,Philippine___+14.80000___+120.16670
CulverCity,CA___+34.01000___-118.38300
Cumberland,MD___+39.65000___-78.76330
CutBank,MT___+48.63300___-112.31700
Dacca,Bangladesh___+23.85000___+90.40000
Dakar,Senegal___+14.75000___-17.50000
Dallas,TX___+32.78580___-96.79360
Dalsbruk,Finland___+60.01000___+22.48000
DalyCity,CA___+37.70170___-122.46200
Damascus,Syria___+33.51670___+36.30000
Danbury,CT___+41.39330___-73.45720
Danielson,CT___+41.79000___-71.88000
Danville,IA___+40.78333___-91.13330
Danville,VA___+36.59170___-79.38420
DaresSalaam,Tanzan.___-6.79990___+39.28330
Darwin,Australia___-12.41990___+130.83670
Davenport,IA___+41.52190___-90.57580
Dayton,OH___+39.75890___-84.19530
Dayton,TN___+35.50000___-85.00000
DaytonaBeach,FL___+29.21220___-81.01940
Deadhorse,AK___+70.19500___-148.46000
DearbornHeights,MI___+42.32500___-83.29170
Dearborn,MI___+42.32330___-83.17500
DeathValleyNat'lMon___+36.46389___-116.88100
Decataur,IL___+39.84500___-88.94640
Decimomannu,Italy___+39.41000___+8.96700
Dekalb,IL___+41.92983___-88.71350
DelRio,TX___+29.36690___-100.73000
Delavan,WI___+49.65000___-88.63330
Delhi,LA___+32.43300___-91.48300
DeltaJct.,AK___+64.03000___-145.72000
Delta,UT___+39.33300___-112.58300
DeMotte,IN___+41.20000___-87.17250
DenaliNat'lPark,AK___+63.71000___-148.94000
Denton,TX___+33.22000___-97.13670
Denver,CO___+39.74940___-104.98900
Derby,CT___+41.33300___-73.08300
Derby,England___+52.81700___-1.33300
Derry,NH___+42.88170___-71.32330
DesMoines,IA___+41.58720___-93.61670
DesPlaines,IL___+42.04330___-87.87000
DesiderioAAF,S.Kore___+36.95000___+127.03330
Detroit,MI___+42.33000___-83.04920
DevilsLake,ND___+48.11000___-98.86330
Dhahran,SaudiArabia___+26.26000___+50.15000
DiamondBar,CA___+34.03800___-117.79700
DiamondSprings,CA___+38.70170___-120.82400
Dickinson,ND___+46.88000___-102.78800
Dickinson,TX___+29.46940___-95.08250
DiegoGarcia___-7.31670___+72.40000
Dijon,France___+47.35000___+5.03330
Dillingham,HI___+21.58330___-158.20000
Dillon,MT___+45.20000___-112.66700
Dillon,SC___+34.40000___-79.46700
Diyarbakir,Turkey___+37.90000___+40.20000
Djakarta,Indonesia___-6.15000___+106.85000
Djibouti___+11.56670___+43.00000
DodgeCity,KS___+37.75470___-100.01900
Doha,Qatar___+25.26700___+51.56700
Dortmund,Germany___+51.52000___+7.60000
Dothan,AL___+31.21700___-85.38300
Douala,Cameroon___+4.01700___+9.71700
DoverAFB,DE___+39.13330___-75.46670
Dover,DE___+39.13330___-75.55000
Dover,England___+51.13330___+1.31670
Dover,FL___+27.96660___-82.25830
Dover,NH___+43.19170___-70.88000
Downey,CA___+33.93500___-118.12500
Dryden,ON___+49.77000___-92.83000
Dubai,U.A.E.___+25.30000___+55.43330
Dublin,Ireland___+53.43300___-6.25000
Dubrovnik,Croatia___+42.56400___+18.25100
Dubuque,IA___+42.50330___-90.67500
Duluth,MN___+46.78220___-92.10670
Dundalk,MD___+39.26700___-76.51700
Dunedin,NewZealand___-45.93330___+170.20000
Dunlap,IA___+41.88300___-95.55000
Durango,CO___+37.25000___-107.91700
Durham,NC___+36.00000___-78.91250
Durham,NC___+36.00000___-78.91250
Dusseldorf,Germany___+51.28300___+6.75000
DutchHarbor,AK___+53.91000___-166.54000
E.Brunswick,NJ___+40.44000___-74.42000
E.Lansing,MI___+42.73500___-84.48330
E.LasVegas,NV___+36.09500___-115.04200
E.LosAngeles,CA___+34.02000___-118.15300
E.St.Louis,IL___+38.62170___-90.15500
E.Stroudsburg,PA___+41.08330___-75.21670
E.Wenatchee,WA___+47.20340___-120.05300
Eagan,MN___+44.83000___-93.22000
EagleRiver,AK___+61.32170___-149.56700
Eagle,AK___+64.70000___-141.33300
EastBoston,MA___+42.34300___-71.05000
EastOrange,NJ___+40.76330___-74.21000
EastPoint,GA___+33.67670___-84.44330
Eastampton,NJ___+39.58000___-74.40000
Eatonton,GA___+33.08300___-83.25000
EauClaire,WI___+44.81330___-91.49500
Edina,MN___+44.88330___-93.35000
Edinburgh,Scotland___+55.95000___-3.16670
Edmond,OK___+35.65330___-97.48170
Edmonds,WA___+47.48000___-122.22000
Edmonton,AB___+53.50000___-113.50000
Edmundston,NB___+47.43000___-68.41000
Edna,TX___+28.98500___-96.68330
EdwardsAFB,CA___+34.90000___-117.86700
Efate,Vanuatu___-17.98000___+168.70000
Effingham,IL___+39.08300___-88.50000
EielsonAFB,AK___+64.67000___-147.10000
ElCajon,CA___+32.79500___-116.96000
ElDorado,AR___+33.20670___-92.66670
ElMirage,AZ___+33.58750___-112.33600
ElMonte,CA___+34.06670___-118.02500
ElPaso,TX___+31.76000___-106.48600
Eldorado,IL___+37.83300___-88.50000
Eldridge,IA___+41.61200___-90.59000
ElginAFB,FL___+30.28350___-86.29050
Elgin,IL___+42.03830___-88.29000
ElizabethCity,NC___+36.25000___-76.25000
Elizabeth,NJ___+40.66190___-74.21640
Elizabethtown,KY___+37.69000___-85.87000
ElkCity,OK___+35.38300___-99.38300
ElkPoint,SD___+42.68300___-96.73300
ElkRiver,ID___+46.78300___-116.18300
Elkhart,IN___+41.66700___-86.00000
Elkins,WV___+38.91700___-79.83300
Elko,NV___+40.83000___-115.76000
EllsworthAFB,SD___+44.15000___-103.13300
Elmira,NY___+42.08300___-76.83300
Elsmere,DE___+39.74000___-75.59000
Elverson,PA___+40.15330___-75.86300
Elyria,OH___+41.36500___-82.11000
Enfield,CT___+41.91700___-72.58300
Englewood,CO___+39.65330___-104.98500
Enid,OK___+36.39500___-97.87500
Entebbe,Uganda___+0.05000___+32.45000
Ephrata,PA___+40.11000___-76.10000
Erding,Germany___+48.32000___+11.93300
Erfurt,Germany___+50.97500___+10.95800
Erie,PA___+42.12080___-80.08250
Escondido,CA___+33.11670___-117.08500
Esfahan,Iran___+32.75000___+51.86400
EssexJunction,VT___+44.48830___-73.11170
Euclid,OH___+41.57000___-81.53670
Eudora,AR___+33.11700___-91.26700
Eugene,OR___+44.06667___-123.06700
Eugene,OR___+44.05440___-123.09200
Eureka,CA___+40.75000___-124.16700
Eureka,NV___+39.55000___-115.96700
Eureka,UT___+39.91700___-112.16700
Evanston,IL___+42.04330___-87.67670
Evanston,WY___+41.02750___-111.03100
Evansville,IN___+37.97220___-87.57250
Everett,WA___+47.98000___-122.20000
Evergreen,CO___+39.64110___-105.41600
Ewa,HI___+21.33500___-158.04300
Exeter,NH___+42.96600___-70.92000
FairHaven,VT___+43.58300___-73.25000
Fairbanks,AK___+64.80000___-147.85000
Fairfax,MN___+44.48300___-94.73300
Fairfax,SC___+32.48300___-81.21700
Fairfield,CA___+38.25000___-122.04200
Fairfield,CT___+41.14170___-73.26330
Fairmont,WV___+39.48330___-80.14330
Faith,SD___+45.03300___-102.03300
Falcon,CO___+38.94780___-104.56100
FallRiver,MA___+41.70170___-71.15500
Fallon,NV___+39.50000___-118.80000
Falmouth,KY___+38.66700___-84.33300
Fargo,ND___+46.87500___-96.78830
Farmington,NM___+36.73330___-108.20300
Farnborough,England___+51.28000___-0.76300
Fayetteville,AR___+36.06670___-94.16000
Fayetteville,NC___+35.05500___-78.87670
Ferriday,LA___+31.63300___-91.55000
Finningley,England___+53.46700___-1.00000
Fisher,LA___+31.46700___-93.50000
Fitchburg,MA___+42.58300___-71.80000
Flagstaff,AZ___+35.19330___-111.65200
Flint,MI___+43.02170___-83.68330
Florala,AL___+31.01700___-86.31700
Florence,AL___+34.76700___-87.66700
Florence,SC___+34.19670___-79.76830
Florissant,MO___+38.78790___-90.32160
FlowerMound,TX___+33.03000___-97.07000
Folsom,NM___+36.78300___-103.93300
FondduLac,WI___+43.78300___-88.48300
FordIsland,HI___+21.36806___-157.96300
ForrestCity,AR___+35.00000___-90.76700
Forsyth,MT___+46.25000___-106.68300
FortCollins,CO___+40.58000___-105.08300
FortDodge,IA___+42.51700___-94.16700
FortGreely,AK___+64.00000___-145.72000
FortLauderdale,FL___+26.12000___-80.13670
FortMcMurray,AB___+56.73000___-111.27000
FortMcPherson,NWT___+67.43000___-134.85000
FortMyers,FL___+26.60000___-81.75000
FortNelson,BC___+58.80000___-122.63000
FortPayne,AL___+34.43300___-85.68300
FortRichardson,AK___+61.26000___-149.65000
FortRiley,KS___+39.08300___-96.76700
FortSalonga,NY___+40.90000___-73.30770
FortScott,KS___+37.83300___-94.71700
FortSimpson,NWT___+61.76000___-121.25000
FortSmith,AR___+35.38500___-94.41830
